CUSTOMERFIRSTNAME	CUSTOMERMIDDLEINITIAL	CUSTOMERLASTNAME	CUSTOMERHOMEPHONENUMBER	CUSTOMERADDRESS	ORDERLINEITEMNUMBER	ITEMNAME	ITEMQUANTITY	ITEMINDIVIDUALPRICE	ITEMPRICEXQUANTITY	ORDERTOTALCOST	ORDERNOTES	ORDERDATETIME
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Chicken and Fries"	"1"	"12.35"	"12.35"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"Pepperoni Pizza (small)"	"4"	"5.00"	"20.00"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"4"	"2 Liter Soda"	"3"	"2.75"	"8.25"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"Marinara Sauce (large)"	"3"	"1.00"	"3.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"3"	"Stromboli (Feta cheese-Spinach)"	"2"	"5.50"	"11.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"4"	"Chicken and Fries"	"2"	"12.35"	"24.70"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Stromboli (meat-cheese)"	"10"	"6.50"	"65.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"2"	"6 pack 12 oz. Country Road Lemonade"	"5"	"2.75"	"13.75"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"3"	"Cinnamon Pull Apart"	"4"	"3.00"	"12.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"4"	"Mega Pizza (Pepperoni and sausage)"	"3"	"30"	"90.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Marinara Sauce (large)"	"12"	"1.00"	"12.00"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"2"	"Pepperoni Pizza (Large)"	"7"	"15.50"	"108.50"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"3"	"6 pack 12 oz. Country Road Lemonade"	"7"	"2.75"	"19.25"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"4"	"Chicken and Fries"	"12"	"12.35"	"148.20"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"3.00"	"Only 1 of 1 item? Wow!"	"02252015_195627"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Pepperoni Pizza (Individual)"	"1"	"9.50"	"9.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Pepperoni Pizza (Large)"	"1"	"15.50"	"15.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"6 Cookies (Choc. Chip)"	"1"	"4.75"	"4.75"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"4"	"2 Liter Soda"	"2"	"2.75"	"5.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"5"	"6 Cookies (Choc. Chip)"	"1"	"4.75"	"4.75"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Pepperoni Pizza (Individual)"	"2"	"9.50"	"19.00"	"21.50"	"No relation to Annoying Orange, that is Mike Orange"	"01082015_182137"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"6 pack 12 .oz can soda"	"1"	"2.50"	"2.50"	"21.50"	"No relation to Annoying Orange, that is Mike Orange"	"01082015_182137"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Stromboli (meat-cheese)"	"2"	"6.50"	"13.00"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Marinara Sauce (large)"	"1"	"1.00"	"1.00"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"6 pack 12 .oz can soda"	"3"	"2.50"	"7.50"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"12 .oz can soda (single)"	"2"	"0.75"	"1.50"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"3"	"Stromboli (Feta cheese-Spinach)"	"2"	"5.50"	"11.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"4"	"Vegetable Pizza (Large)"	"2"	"14.00"	"28.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Chicken and Fries"	"1"	"12.35"	"12.35"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"Pepperoni Pizza (small)"	"4"	"5.00"	"20.00"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"4"	"2 Liter Soda"	"3"	"2.75"	"8.25"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"Marinara Sauce (large)"	"3"	"1.00"	"3.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"3"	"Stromboli (Feta cheese-Spinach)"	"2"	"5.50"	"11.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"4"	"Chicken and Fries"	"2"	"12.35"	"24.70"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Stromboli (meat-cheese)"	"10"	"6.50"	"65.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"2"	"6 pack 12 oz. Country Road Lemonade"	"5"	"2.75"	"13.75"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"3"	"Cinnamon Pull Apart"	"4"	"3.00"	"12.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"4"	"Mega Pizza (Pepperoni and sausage)"	"3"	"30"	"90.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Marinara Sauce (large)"	"12"	"1.00"	"12.00"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"2"	"Pepperoni Pizza (Large)"	"7"	"15.50"	"108.50"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"3"	"6 pack 12 oz. Country Road Lemonade"	"7"	"2.75"	"19.25"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"4"	"Chicken and Fries"	"12"	"12.35"	"148.20"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"3.00"	"Only 1 of 1 item? Wow!"	"02252015_195627"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Pepperoni Pizza (Individual)"	"1"	"9.50"	"9.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Pepperoni Pizza (Large)"	"1"	"15.50"	"15.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"6 Cookies (Choc. Chip)"	"1"	"4.75"	"4.75"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"4"	"2 Liter Soda"	"2"	"2.75"	"5.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"5"	"6 Cookies (Choc. Chip)"	"1"	"4.75"	"4.75"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Pepperoni Pizza (Individual)"	"2"	"9.50"	"19.00"	"21.50"	"No relation to Annoying Orange, that is Mike Orange"	"01082015_182137"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"6 pack 12 .oz can soda"	"1"	"2.50"	"2.50"	"21.50"	"No relation to Annoying Orange, that is Mike Orange"	"01082015_182137"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Stromboli (meat-cheese)"	"2"	"6.50"	"13.00"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Marinara Sauce (large)"	"1"	"1.00"	"1.00"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"6 pack 12 .oz can soda"	"3"	"2.50"	"7.50"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"12 .oz can soda (single)"	"2"	"0.75"	"1.50"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"3"	"Stromboli (Feta cheese-Spinach)"	"2"	"5.50"	"11.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"4"	"Vegetable Pizza (Large)"	"2"	"14.00"	"28.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Chicken and Fries"	"1"	"12.35"	"12.35"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"Pepperoni Pizza (small)"	"4"	"5.00"	"20.00"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"4"	"2 Liter Soda"	"3"	"2.75"	"8.25"	"43.60"	"Some text that goes here, even with a delimiting comma. Yay!"	"01212015_221559"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"Marinara Sauce (large)"	"3"	"1.00"	"3.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"3"	"Stromboli (Feta cheese-Spinach)"	"2"	"5.50"	"11.00"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"4"	"Chicken and Fries"	"2"	"12.35"	"24.70"	"41.70"	"No relation to Annoying Orange, that is Mike Orange"	"01282015_144736"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Stromboli (meat-cheese)"	"10"	"6.50"	"65.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"2"	"6 pack 12 oz. Country Road Lemonade"	"5"	"2.75"	"13.75"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"3"	"Cinnamon Pull Apart"	"4"	"3.00"	"12.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"4"	"Mega Pizza (Pepperoni and sausage)"	"3"	"30"	"90.00"	"180.75"	"Order will take 4 hours to prepare, as Mega Pizza's are special orders and need an entire oven to themselves."	"02142015_120001"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Marinara Sauce (large)"	"12"	"1.00"	"12.00"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"2"	"Pepperoni Pizza (Large)"	"7"	"15.50"	"108.50"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"3"	"6 pack 12 oz. Country Road Lemonade"	"7"	"2.75"	"19.25"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"4"	"Chicken and Fries"	"12"	"12.35"	"148.20"	"287.95"	"Order will take 5 hours to prepare, ran out of chicken. Steeldriving is no joke."	"02182015_152321"
"John"	"H"	"Henry"	"999999995"	"111 Steeldriver Rd. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"3.00"	"Only 1 of 1 item? Wow!"	"02252015_195627"
